title,issn
Action in Teacher Education,0162-6620
Adult Learning,1045-1595
African Arts,0001-9933
AfterImage,0300-7472
American art,1073-9300
American Artist,0002-7375
American Craft,0194-8008
American Journal of Art Therapy,0007-4764
American Journal of Dance Therapy,0146-3721
American Journal of Psychology,0002-9556
American Libraries,0002-9769
The American Poetry Review,0360-3709
The American School Board Journal,0003-0953
American Scientist,0003-0996
Animation magazine,1041-617X
Annals of Dyslexia,0736-9387
Annual Review of Psychology,0066-4308
Aperture,0003-6420
Archives of pediatrics & adolescent medicine,1072-4710
Art Bulletin,0004-3079
Art in America,0004-3214
Art New England,0274-7073
ARTnews,0004-3273
Art Psychotherapy,0090-9092
Artforum International,1086-7058
Arts in Psychotherapy,0197-4556
"Atlantic, The",1072-7825
Audubon,0097-7136
Behavior Modification,0145-4455
Behavioral Disorders,0198-7429
Boston Magazine,0006-7989
Boston Globe,0743-1791
Brown University Child and Adolescent Behavior Letter,1058-1073
Bulletin of the Menninger Clinic,0025-9284
"Ceramics, Art and Perception",1035-1841
Ceramics Monthly,0009-0328
Change,0009-1383
Child Abuse & Neglect,0145-2134
Childhood: A journal of global child research,0907-5682
Childhood Education,0009-4056
Children's Digest,0272-7145
Cognitive psychology,0010-0285
Communication Arts,0010-3519
Communication Education,0363-4523
Community Mental Health Journal,0010-3853
Current History,0011-3530
Daedalus,0011-5266
Developmental Review,0273-2297
Drawing,0191-6963
Early Childhood Research Quarterly,0885-2006
Ebony,0012-9011
Educational Foundations,1047-8248
Educational Leadership,0013-1784
Educational Research,0013-1881
Educational theory,0013-2004
Equity & Excellence in Education,1066-5684
Essence,0014-0880
Ethics,0014-1704
Evaluation Review: A Journal of Applied Social Research,0193-841X
Faces,0749-1387
Feminist Studies: FS,0046-3663
Field Methods: (Formerly Cultural Anthropology Methods),1525-822X
Flash Art,0394-1493
"Genetic, Social, and General Psychology Monographs",8756-7547
Glamour,0017-0747
Granta,0017-3231
Graphis,0017-3452
Harvard Business Review,0017-8012
Harvard Educational Review,0017-8055
History of Photography,0308-7298
Horn Book Magazine,0018-5078
How,0886-0483
HRMagazine,1047-3149
Human Development,0018-716X
Independent School,0145-9635
Intercultural education,1467-5986
"International Journal of Disability, Development and Education",1034-912X
International journal of educational research,0883-0355
International Journal of Intensive Short-Term Dynamic Psychotherapy,1096-7028
International journal of intercultural relations,0147-1767
The International Journal of Psychoanalysis,0020-7578
International Journal of Short-Term Psychotherapy,0884-724X
The International review of African American art,1045-0920
"JCT (Rochester, NY)",1057-896X
Journal of Adolescence,0140-1971
Journal of Autism and Developmental Disorders,0162-3257
Journal of Behavioral Medicine,0160-7715
Journal of Clinical Child Psychology,0047-228X
The Journal of Creative Behavior,0022-0175
Journal of cross-cultural psychology,0022-0221
Journal of experimental child psychology,0022-0965
Journal of Feminist Family Therapy,0895-2833
Journal of Homosexuality,0091-8369
Journal of Humanistic Psychology,0022-1678
Journal of Law & Education,0275-6072
Journal of Music Therapy,0022-2917
Journal of Nutrition Education,0022-3182
Journal of Psychotherapy Practice and Research,1055-050X
Journal of research in personality,0092-6566
Journal of school psychology,0022-4405
Journal of Social Psychology,0022-4545
The Journal of Speech and Hearing Disorders : JSHD,0022-4677
Journal of Visual Impairment and Blindness,0145-482X
